Date,ADBE,AMZN,CVX,GOOGL,JNJ,JPM,MSFT,PG,SCHW,V
2020-01-02,334.42999267578125,94.90049743652344,95.00154876708984,68.0260238647461,124.98372650146484,120.7335433959961,153.04234313964844,107.74824523925781,44.621307373046875,183.87205505371094
2020-01-03,331.80999755859375,93.74849700927734,94.67295837402344,67.67015075683594,123.53667449951172,119.14029693603516,151.13665771484375,107.02356719970703,43.49259948730469,182.40969848632812
2020-01-06,333.7099914550781,95.14399719238281,94.3521957397461,69.47384643554688,123.38255310058594,119.04559326171875,151.5272979736328,107.17201232910156,43.797908782958984,182.01527404785156
2020-01-07,333.3900146484375,95.34300231933594,93.14736938476562,69.33964538574219,124.1360092163086,117.02172088623047,150.14572143554688,106.50846862792969,44.05696105957031,181.53421020507812
2020-01-08,337.8699951171875,94.59850311279297,92.08335876464844,69.83318328857422,124.11885833740234,117.93461608886719,152.5372772216797,106.96245574951172,44.32525634765625,184.6416778564453
2020-01-09,340.45001220703125,95.05249786376953,91.93472290039062,70.56629180908203,124.48709106445312,118.365234375,154.4429168701172,108.13239288330078,44.51029586791992,185.92124938964844
2020-01-10,339.80999755859375,94.15799713134766,91.09759521484375,71.02205657958984,124.20452117919922,117.18536376953125,153.7283172607422,108.23717498779297,44.22348403930664,186.4215850830078
2020-01-13,345.6300048828125,94.56500244140625,91.26972198486328,71.57225799560547,124.75248718261719,118.1585464477539,155.57679748535156,109.03170776367188,44.42703628540039,187.92237854003906
2020-01-14,344.6300048828125,93.47200012207031,90.98807525634766,71.10307312011719,125.45460510253906,119.53649139404297,154.4810028076172,108.86578369140625,44.14022445678711,188.6150665283203
2020-01-15,342.94000244140625,93.10099792480469,90.85505676269531,71.531005859375,125.87416076660156,117.7451171875,155.48153686523438,109.974609375,43.5943717956543,192.22288513183594
2020-01-16,345.3800048828125,93.89700317382812,91.44964599609375,72.07573699951172,126.8930892944336,118.20158386230469,158.3304901123047,110.0706787109375,45.333702087402344,193.32928466796875
2020-01-17,349.739990234375,93.23600006103516,90.42476654052734,73.53498840332031,127.7236328125,119.01976776123047,159.21658325195312,110.3675308227539,44.72306823730469,196.9370574951172
2020-01-21,350.0,94.5999984741211,88.64881896972656,73.67066955566406,127.80924224853516,117.84849548339844,158.64491271972656,110.08812713623047,44.824859619140625,199.42881774902344
2020-01-22,350.05999755859375,94.37300109863281,88.32804870605469,73.75118255615234,126.93586730957031,117.7106704711914,157.88262939453125,110.28021240234375,45.26893615722656,200.01571655273438
2020-01-23,351.760009765625,94.22899627685547,88.4845199584961,73.79194641113281,127.17565155029297,117.59015655517578,158.85452270507812,109.77606964111328,44.79710388183594,198.6880645751953
2020-01-24,351.3699951171875,93.08200073242188,87.50657653808594,72.87146759033203,126.99583435058594,114.67061614990234,157.25379943847656,109.9078140258789,43.62212371826172,197.2257080078125
2020-01-27,346.8999938964844,91.41699981689453,86.36432647705078,71.15973663330078,127.36399841308594,113.70606994628906,154.62400817871094,110.390869140625,42.33612060546875,194.04119873046875
2020-01-28,354.6300048828125,92.6624984741211,86.9354476928711,72.09263610839844,128.0061492919922,115.77296447753906,157.6539764404297,110.68949127197266,42.83572006225586,195.15721130371094
2020-01-29,351.6600036621094,92.9000015258789,86.34867858886719,72.40078735351562,128.89662170410156,115.6007080078125,160.11224365234375,109.83756256103516,42.51191329956055,197.09097290039062
2020-01-30,356.739990234375,93.53399658203125,87.1545181274414,72.27902221679688,128.74253845214844,117.03034973144531,164.6285858154297,110.61922454833984,43.65912628173828,200.31394958496094
2020-01-31,351.1400146484375,100.43599700927734,83.8216781616211,71.2119140625,127.46678161621094,113.99024200439453,162.19894409179688,109.45111846923828,42.141841888427734,191.4243621826172
2020-02-03,358.0,100.20999908447266,83.14885711669922,73.68806457519531,128.579833984375,114.86006927490234,166.1531219482422,109.88147735595703,42.262115478515625,193.19459533691406
2020-02-04,366.739990234375,102.4834976196289,83.59480285644531,71.83964538574219,129.80422973632812,116.51361083984375,171.6223602294922,110.36453247070312,43.5573616027832,195.84027099609375
2020-02-05,365.54998779296875,101.99349975585938,86.27825164794922,71.8714599609375,131.8506317138672,118.49442291259766,171.4127197265625,111.37454223632812,44.67682647705078,195.11874389648438
2020-02-06,367.4599914550781,102.5114974975586,85.66020965576172,73.35853576660156,131.45677185058594,118.5116195678711,174.96673583984375,111.66439056396484,44.25124740600586,195.33998107910156
2020-02-07,366.0899963378906,103.96399688720703,85.22991180419922,73.51461029052734,130.05258178710938,118.13270568847656,175.21449279785156,110.73340606689453,43.77015686035156,195.05142211914062
2020-02-10,370.0,106.69550323486328,85.8949203491211,74.98329162597656,130.0269012451172,118.62361145019531,179.79754638671875,110.81245422363281,43.27055740356445,198.1781463623047
2020-02-11,369.2799987792969,107.54000091552734,87.00586700439453,75.05287170410156,130.13818359375,118.84750366210938,175.73854064941406,109.047119140625,44.10321807861328,196.2058868408203
2020-02-12,374.2900085449219,108.0,87.65522766113281,75.47883605957031,129.36756896972656,118.84750366210938,175.9957733154297,108.42353820800781,44.214237213134766,199.5731201171875
2020-02-13,374.8399963378906,107.49349975585938,87.3579330444336,75.21839141845703,128.51136779785156,118.7441635131836,175.04295349121094,109.74974822998047,43.91706848144531,199.8236541748047
2020-02-14,379.6700134277344,106.74349975585938,87.12838745117188,75.48379516601562,128.5456085205078,118.3824691772461,176.60557556152344,110.78607177734375,43.86134338378906,202.6080780029297
2020-02-18,378.8500061035156,107.78350067138672,87.25503540039062,75.51908874511719,127.69792175292969,116.8150405883789,178.39688110351562,109.67069244384766,43.39699935913086,203.48480224609375
