Close,High,Low,Open,Volume,Simple_Return,Log_Return,20D_Momentum,20D_SMA,20D_Volatility,Weekday,Price_Surge,Volume_Spike,Upper_BB,Lower_BB,Daily Return,Volatility
189.5099945068359,195.5,163.8000030517578,182.0,25373700.0,,,,,,Wednesday,False,False,,,,
186.0,187.69500732421875,172.63600158691406,179.7100067138672,3506800.0,-0.01852142160612691,-0.018695090879373318,,,,Thursday,False,False,,,-0.01852142160612691,
175.0,182.0,168.25,176.52000427246094,4760600.0,-0.05913978494623651,-0.060960699789687135,,,,Friday,False,False,,,-0.05913978494623651,
160.0,170.0,151.1999969482422,169.10000610351562,7859600.0,-0.08571428571428574,-0.08961215868968717,,,,Monday,False,False,,,-0.08571428571428574,
158.88999938964844,161.4199981689453,153.75999450683594,157.10000610351562,5017000.0,-0.006937503814697266,-0.006961680174897907,,,,Tuesday,False,False,,,-0.006937503814697266,
158.88999938964844,161.4199981689453,153.75999450683594,157.10000610351562,5017000.0,0.0,0.0,,,,Tuesday,False,False,,,0.0,
158.0500030517578,167.47000122070312,157.1999969482422,161.17999267578125,3061300.0,-0.005286653289177101,-0.005300677088490033,,,,Wednesday,False,False,,,-0.005286653289177101,
154.2100067138672,161.66000366210938,152.2495632171631,159.10000610351562,6369800.0,-0.0242960851866173,-0.02459610456370365,,,,Thursday,False,False,,,-0.0242960851866173,
166.35000610351562,169.9499969482422,147.32000732421875,154.2100067138672,8157800.0,0.07872381078469126,0.075778685748556,,,,Friday,False,False,,,0.07872381078469126,
160.22999572753906,173.4600067138672,155.0,169.07000732421875,3884200.0,-0.036789961836059204,-0.037483782800053586,,,,Monday,False,False,,,-0.036789961836059204,
156.7899932861328,163.2100067138672,153.4219970703125,161.0500030517578,2386700.0,-0.02146915392331261,-0.021702968803641056,,,,Tuesday,False,False,,,-0.02146915392331261,
158.22000122070312,161.55999755859375,150.25,155.0,1759900.0,0.009120530619327383,0.009079189756879989,,,,Wednesday,False,False,,,0.009120530619327383,
158.4600067138672,158.60000610351562,153.07000732421875,157.3800048828125,673000.0,0.0015169099438274714,0.0015157605980944705,,,,Thursday,False,False,,,0.0015169099438274714,
147.88999938964844,158.4499969482422,141.5050048828125,158.25,3807700.0,-0.06670457450696132,-0.0690334878549578,,,,Monday,False,False,,,-0.06670457450696132,
141.27000427246094,147.39999389648438,139.63999938964844,146.1199951171875,3849500.0,-0.04476296669489921,-0.04579576688481195,,,,Tuesday,False,False,,,-0.04476296669489921,
140.1999969482422,147.97999572753906,139.8000030517578,144.39999389648438,3121100.0,-0.0075742004095581406,-0.007603030333485956,,,,Wednesday,False,False,,,-0.0075742004095581406,
142.75,146.5,135.3800048828125,140.1999969482422,2637300.0,0.01818832458818953,0.01802489570280423,,,,Thursday,False,False,,,0.01818832458818953,
139.19000244140625,143.6199951171875,137.1699981689453,142.5,2026400.0,-0.024938686925350284,-0.025254924756712534,,,,Monday,False,False,,,-0.024938686925350284,
144.42999267578125,146.1199951171875,137.8350067138672,138.0,1031800.0,0.03764631182171896,0.03695498662246608,,,,Tuesday,False,False,,,0.03764631182171896,
140.00999450683594,142.0,138.2100067138672,141.27000427246094,1931400.0,-0.03060304918014778,-0.031081101006123747,,156.81699981689454,,Wednesday,False,False,,,-0.03060304918014778,
152.77000427246094,154.63999938964844,139.43499755859375,140.0,3215200.0,0.09113642072889294,0.08721974094850417,-36.73999023437497,154.9800003051758,0.04361641430679759,Thursday,False,False,155.0672331337894,154.8927674765622,0.09113642072889294,
156.08999633789062,158.30999755859375,147.3000030517578,152.0,2548700.0,0.02173196290227608,0.021499190164543235,-29.910003662109375,153.4845001220703,0.044119609824451685,Friday,False,False,153.5727393417192,153.3962609024214,0.02173196290227608,0.043065983546692686
